 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oggbyboyyybgboorwgorrybgogywwwyrrgyybwbwgorgbwowrwobrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grogryywrgrwgyrywbgobybyrbyybwgwbobwoorwgwogbrowroybog   
Co  5  	Before:    rwyrrgwbrrygwbbybbywbrwywwwrbbggggggwygryryyoboooooooo   	After:    rgywgwwbrrwgrorybbyobwybwowrobrrygogwgggwgyrobyoybyobo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wbrgyorrybwgyrybrooggrgwwobyygbowroorrygbgboyobgywwwbw   
Co  5  	Before:    ygyyyoooggyygrbrrrrbbrgggggrooroyoobbrybbywbbwwwwwwoww   	After:    ygywywooggyyrggrrrrbbroygrgroobbyoobbgygrbwbbwwwowyoww   
Co  5  	Before:    ogyoyygoyrybbgygggrrogoboobboyrbgwbbgbyrryrrrwwwwwwwwo   	After:    obyrrbgoyrgbggbgogroorygoybbwyrbywwbgwybwyrwrwywoorwgo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wryrrwyogoywgbryyworogworgrbbbwggbbwoygoyyborgbgbowrwy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    obgwgoyworgwgowrrgbyyrygyyrrobrrogboybbwwowybwyogbbgrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygwobwgybyrwwwwoorrboorybgggyobybrrgbborogwowbyyggrrwy   
Co  5  	Before:    bryobbrrowbwrrbwrrbybwyoyyyryywobooooybowwwwgrgggggggg   	After:    bgywwyrgowowwrbwyrbobobwybyrryroboboogbwgowggrrgyyygrg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yoyrogwywrgowbbbwogooyygbobbbgrgbrogoygrwrrwrygwbryyww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yoobrwwybrryybbybbogwywwrwgbybbggororrgoygggrgowrooyww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    orrybrbrorwworwowgbyggyywoyybbboorgoygwwwywoygbrbgggrb   
Co  5  	Before:    bryobboybyrwbobgoorwbywwwwwrwoorrrrrwybbyoyyoygggggggg   	After:    brywowoybyrwogrgoorgbbwowgwrwobbbrrrwbbyywyooyggyryggg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    boygybrwygobbbrwgororyrrgybgyywgowrwowwgowbyogrybwgrbo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    orbrrgbogywrybwygbwoobwoooywbgbgwgwrwyrrygwygoryboybgr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wgrogrwrbgwryoywboybwoyoygygrrgrygwybborwboobowbwbyggr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    obbgywwybgrwwbrogrrrrbroggbyyywgowyrgrobobyybywwgwogoo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wowrbryrobbwgobryybgrwwwrbybboorggwygyooywoywggbogygrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    byorbgorgbgooybbwyyygyobgwgwoywwwwbboywrrgyrwrorbggror   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    boboogorywwgoybgrwoyowgrrobwbyywgrgrowgwbgbbyrbgyryyrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywrowrobggwwybybwoogwbobbyrgorrgyworgbyorgbgyorwwyrygb   
Co  5  	Before:    wbrgwgrwwwgbobwybboowoobooygworgrogggrbwrbrrbryyyyyyyg   	After:    wyrrorrywwgbrbrywbogwwybogygboogwogggybowbrybrbyoroywg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bryororwwbrrbygrrrbygrboyywoyywwggwwobywgyogwgbgoogbbo   
Co  5  	Before:    rbrwrbbrgrgywywgyyrrygbgbbbbywywywwwgbwrgrggoyoooooooo   	After:    rgrgrbbygroyrgrgoyrwywywbbbbrwgbgwbwgowywygooywoboroyo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ryboybworobwrbggoogrryrwyrbybgoggrggygbwowowoyybbwywrw   
 10  	Before:    obwoyrgwwygoybygbogygbrbbrbrrbogorrryyogogboyrwwwwwygw   	After:    gyogrygoyowrrbgoorgrywwbwowgorrgboyywywwygrwbybbrogbbb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wyybyrworoyybrgwoobggogrwrborgwogobgrobwbwrgrbwgywbyyy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbwoogrgogrwyggbbybooywwbyygobrbwobrwwwgyryyryrobrogwg   
Co  5  	Before:    woooobywybbgbywyyyoogggygggwwbowywwbogogbyrbbrrrrrrwrr   	After:    wbobygyyybrggoyyryoogbbwgbgwwbgrywoboroogyrrbrwrgwowwr   
Co  5  	Before:    obbyyrbgyorrgrgbrrgbrygbgggyoyyoyooogryobobbwrwwwwwwww   	After:    oobbrgboyobrowobgrgwrggggwgywyyybowogryybybywrrwrobwrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    obooggrwgyrrowrrrrwywyobwwgbogyygybowwgoryybybgbrbgbwo   
Co  5  	Before:    googgrrwyggrgrorrrgygwwrwwowyogowbooyowryyyyybbbbbbbbw   	After:    goobobrwyggrwgrrrrgyggwwwoowyorbybooywwgyoyyybbbrrgbbw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ybwwwggggrowrogryoorrwgybogboggrrwbooryybbyyybbwoywbwr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ygyroyogrwybwyowbywrgygbbrboobwwbwwrrbgobgyogryowrggro   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rborbyryggoygryoorrbgryrbbbwwbbowowbwgwrwowgygwyygoogy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owrgbgooobwbbrbrgryywryybgogbyrowwybgrwrworygywyogowbg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rowooywrwgybgybybgobrrgbyorbgyowygrgbwogbwrwobworryygw   
Co  5  	Before:    ooooobbogwgowbybbbywbbygyyyyygygwggwwboowgrwwrrrrrrgrr   	After:    ogoryrbygwooygwbobywboogybyyrgwbygrwwyobrgrwwrgrbwogbr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gyywbrrywbgbwwogbgoygyrorobobrgybogrwrywogwbwooyrgwbry   
